"学科门类","专业","学科门类"
"A01哲学","哲学","马克思主义哲学"
"A01哲学","哲学","中国哲学"
"A01哲学","哲学","外国哲学"
"A01哲学","哲学","逻辑学"
"A01哲学","哲学","伦理学"
"A01哲学","哲学","美学"
"A01哲学","哲学","宗教学"
"A01哲学","哲学","科学技术哲学"
"A02经济学","理论经济学","政治经济学"
"A02经济学","理论经济学","经济思想史"
"A02经济学","理论经济学","经济史"
"A02经济学","理论经济学","西方经济学"
"A02经济学","理论经济学","世界经济"
"A02经济学","理论经济学","人口、资源与环境经济学"
"A02经济学","应用经济学","国民经济学"
"A02经济学","应用经济学","区域经济学"
"A02经济学","应用经济学","财政学（含∶税收学）"
"A02经济学","应用经济学","金融学（含∶保险学）"
"A02经济学","应用经济学","产业经济学"
"A02经济学","应用经济学","国际贸易学"
"A02经济学","应用经济学","劳动经济学"
"A02经济学","应用经济学","统计学（部分）"
"A02经济学","应用经济学","数量经济学"
"A02经济学","应用经济学","国防经济"
"A02经济学","应用经济学","精算学"
"A02经济学","应用经济学","金融硕士（专业硕士）"
"A02经济学","应用经济学","应用统计硕士（专业硕士）"
"A02经济学","应用经济学","税务硕士（专业硕士）"
"A02经济学","应用经济学","国际商务硕士（专业硕士）"
"A02经济学","应用经济学","保险硕士（专业硕士）"
"A02经济学","应用经济学","资产评估硕士（专业硕士）"
"A02经济学","应用经济学","审计硕士（专业硕士）"
"A03法学","法学","法学理论"
"A03法学","法学","法律史"
"A03法学","法学","宪法学与行政法学"
"A03法学","法学","刑法学"
"A03法学","法学","民商法学（含：劳动法学、社会保障法学）"
"A03法学","法学","诉讼法学"
"A03法学","法学","经济法学"
"A03法学","法学","环境与资源保护法学"
"A03法学","法学","国际法学（含：国际公法、国际私法、国际经济法）"
"A03法学","法学","军事法学"
"A03法学","法学","法律（非法学）"
"A03法学","法学","法律（法学）"
"A03法学","政治学","政治学理论"
"A03法学","政治学","中外政治制度"
"A03法学","政治学","科学社会主义与国际共产主义运动"
"A03法学","政治学","中共党史（含：党的学说与党的建设）"
"A03法学","政治学","国际政治"
"A03法学","政治学","国际关系"
"A03法学","政治学","外交学"
"A03法学","社会学","社会学"
"A03法学","社会学","人口学"
"A03法学","社会学","人类学"
"A03法学","社会学","民俗学（含：中国民间文学）"
"A03法学","社会学","社会工作硕士（专业硕士）"
"A03法学","民族学","民族学"
"A03法学","民族学","马克思主义民族理论与政策"
"A03法学","民族学","中国少数民族经济"
"A03法学","民族学","中国少数民族史"
"A03法学","民族学","中国少数民族艺术"
"A03法学","马克思主义理论","马克思主义基本原理"
"A03法学","马克思主义理论","马克思主义发展史"
"A03法学","马克思主义理论","马克思主义中国化研究"
"A03法学","马克思主义理论","国外马克思主义研究"
"A03法学","马克思主义理论","思想政治教育"
"A03法学","马克思主义理论","中国近现代史基本问题研究"
"A03法学","公安学","公安学"
"A03法学","公安学","警务硕士（专业硕士）"
"A04教育学","教育学","教育学原理"
"A04教育学","教育学","课程与教学论"
"A04教育学","教育学","教育史"
"A04教育学","教育学","比较教育学"
"A04教育学","教育学","学前教育学"
"A04教育学","教育学","高等教育学"
"A04教育学","教育学","成人教育学"
"A04教育学","教育学","职业技术教育学"
"A04教育学","教育学","特殊教育学"
"A04教育学","教育学","教育技术学"
"A04教育学","教育学","教育法学"
"A04教育学","教育学","教育管理硕士（专业硕士）"
"A04教育学","教育学","学科教学硕士（专业硕士）"
"A04教育学","教育学","现代教育技术硕士（专业硕士）"
"A04教育学","教育学","小学教育硕士（专业硕士）"
"A04教育学","教育学","科学与技术教育硕士（专业硕士）"
"A04教育学","教育学","学前教育硕士（专业硕士）"
"A04教育学","教育学","特殊教育硕士（专业硕士）"
"A04教育学","教育学","职业技术教育硕士（专业硕士）"
"A04教育学","教育学","学校课程与教学"
"A04教育学","教育学","学生发展与教育"
"A04教育学","教育学","教育领导与管理"
"A04教育学","心理学","基础心理学"
"A04教育学","心理学","发展与教育心理学"
"A04教育学","心理学","应用心理学"
"A04教育学","心理学","应用心理硕士（专业硕士）"
"A04教育学","心理学","心理健康教育硕士（专业硕士）"
"A04教育学","体育学","体育人文社会学"
"A04教育学","体育学","运动人体科学"
"A04教育学","体育学","体育教育训练学"
"A04教育学","体育学","民族传统体育学"
"A04教育学","体育学","体育教学硕士（专业硕士）"
"A04教育学","体育学","运动训练硕士（专业硕士）"
"A04教育学","体育学","竞赛组织硕士（专业硕士）"
"A04教育学","体育学","社会体育指导硕士（专业硕士）"
"A05文学","中国语言文学","文艺学"
"A05文学","中国语言文学","语言学及应用语言学"
"A05文学","中国语言文学","汉语言文字学"
"A05文学","中国语言文学","中国古典文献学"
"A05文学","中国语言文学","中国古代文学"
"A05文学","中国语言文学","中国现当代文学"
"A05文学","中国语言文学","中国少数民族语言文学（分语族）"
"A05文学","中国语言文学","比较文学与世界文学"
"A05文学","中国语言文学","汉语国际教育硕士（专业硕士）"
"A05文学","外国语言文学","英语语言文学"
